team,short_range_fgm,short_range_fga,short_range_fg_pct,mid_range_fgm,mid_range_fga,mid_range_fg_pct,long_range_fgm,long_range_fga,long_range_fg_pct,three_range_fgm,three_range_fga,three_range_fg_pct,season
Atlanta Hawks,24.1,40.8,59.1,4.8,11.5,42.1,1,2.5,39.7,13.2,36.8,35.8,2024
Boston Celtics,18.2,29,62.7,4.1,8.9,45.9,1.6,3.9,39.9,17.8,48,37.1,2024
Brooklyn Nets,19.3,35.1,55,3.8,9.3,40.9,1.1,2.7,41,13.5,38.9,34.7,2024
Charlotte Hornets,19.5,35.5,54.8,4.3,11.5,37.6,1.4,3.6,38.1,13.3,38.7,34.4,2024
Chicago Bulls,22.4,37.8,59.1,3.9,8.4,46.3,1.2,3.3,36,15.5,42.4,36.7,2024
Cleveland Cavaliers,21.8,34.7,62.7,5.6,10.8,51.3,1.3,3.5,35.9,15.9,41.2,38.5,2024
Dallas Mavericks,21.7,36.1,60.2,5.6,12.5,44.6,1.9,4.6,40.9,12.9,35.1,36.9,2024
Denver Nuggets,26.1,41.5,62.9,4.5,10.3,44.1,2.7,6.3,42.9,12.1,31.3,38.6,2024
Detroit Pistons,23.4,39.2,59.7,5.3,11.5,45.8,1.4,3.8,37.1,12.7,34.9,36.4,2024
Golden State Warriors,20.6,36,57.2,3.5,8.6,40.6,1.4,3.9,34.8,15.3,42,36.5,2024
Houston Rockets,21.9,38.7,56.7,5.5,13,42.3,2.2,5.8,37,12.4,35.5,35,2024
Indiana Pacers,21.9,34.5,63.5,6.3,13.3,47.3,2.2,5.6,38.8,13,35,37.1,2024
LA Clippers,21.5,36.2,59.4,5.9,12.8,46,1.4,3.6,39.6,12.3,33.6,36.5,2024
Los Angeles Lakers,21.3,33.8,63,4.8,11.1,43,1.9,4.9,39.9,12.9,35.6,36.2,2024
Memphis Grizzlies,23.6,39.8,59.4,6.6,13.8,47.6,1,2.6,40.1,13.7,37.1,36.9,2024
Miami Heat,19.5,33.8,57.8,5.4,12.1,44.8,1.2,2.8,44.2,13.5,37.4,36.1,2024
Milwaukee Bucks,19.1,31.2,61.2,5,10.9,45.7,3.5,7.7,45.3,14.1,36.7,38.3,2024
Minnesota Timberwolves,20.3,34.4,59.1,4.1,9.9,41.1,1,3.1,33,15.2,39.7,38.2,2024
New Orleans Pelicans,21.2,37.7,56.1,5.7,12.9,43.9,1.8,4.6,39,12.2,34.7,35.1,2024
New York Knicks,22.6,37.6,60.1,6.7,13.6,49,1.6,4,40.1,12.6,34,37,2024
Oklahoma City Thunder,20.8,34,61.3,7.5,15.6,48.4,1.7,4.1,41.3,14.4,38.9,37,2024
Orlando Magic,20.6,34.6,59.5,4.4,11,39.9,1.9,5,38.5,10.9,34.8,31.4,2024
Philadelphia 76ers,20.6,35.5,58.2,4.5,9.8,45.5,1.8,4.8,37.6,12.8,36.7,34.9,2024
Phoenix Suns,15.9,25.9,61.5,8.4,17.1,49.3,2.6,5.4,48,14.5,37.6,38.5,2024
Portland Trail Blazers,22.1,38.8,57,3.6,9,39.8,1.8,4.5,40.8,13,37,35,2024
Sacramento Kings,20,31.7,63.2,7.1,15.1,46.8,3.5,8,44,12.6,35.5,35.5,2024
San Antonio Spurs,22,36.1,61,4.1,9.6,42.5,1.9,4.6,40.4,14,39.2,35.8,2024
Toronto Raptors,23.1,41.2,56,5.7,12.6,45.6,1,3,32.7,11.5,32.8,35,2024
Utah Jazz,20.7,34.9,59.2,4.7,11.2,42.1,1,2.8,36.7,13.9,39.1,35.5,2024
Washington Wizards,20.9,36,58,3.9,10.7,36.8,1.6,4.3,37.2,13.2,39.1,33.8,2024
Atlanta Hawks,21.1,37.3,56.6,6.2,13.2,46.9,2,4.3,47,13.7,37.5,36.6,2023
Boston Celtics,20.9,32.9,63.5,4.6,10,45.4,2,4.8,41.8,16.5,42.3,38.9,2023
Brooklyn Nets,20.8,35.9,57.8,5,11.8,42.1,1.7,4.7,35.3,13.3,36.4,36.4,2023
Charlotte Hornets,21.2,35.5,59.7,4.8,11.8,40.5,2,5.7,35.1,12.1,33.7,35.7,2023
Chicago Bulls,21.3,36.8,58,6,12.7,47.5,3.2,7.9,40.3,11.5,31.9,36,2023
Cleveland Cavaliers,22.3,37.2,60,4.5,9.8,46.3,1.4,3.4,41.7,13.5,36.6,36.8,2023
Dallas Mavericks,20.6,32.5,63.6,5.6,11.9,46.7,2.3,5.7,40.2,14.6,39.3,37.1,2023
Denver Nuggets,24,39.1,61.2,5,11.1,45,3.4,7.4,46.3,11.7,30.9,37.8,2023
Detroit Pistons,21.9,37.7,58,5.9,13.3,44.4,2.1,5.5,37.6,11,31.5,35.1,2023
Golden State Warriors,22,36.1,60.9,4.3,10.3,41.9,2.6,6.3,40.9,14.7,38.7,38.1,2023
Houston Rockets,22,38.5,57.2,4.6,10.3,44.7,2.5,6,40.5,12.7,35.7,35.6,2023
Indiana Pacers,25.7,41.2,62.5,5.9,12,49.7,2.1,4.3,49.7,13.2,35.1,37.6,2023
