team,under_5_ft_fgm,under_5_ft_fga,_5to9_fgm,_5to9_fga,_10to14_fgm,_10to14_fga,_15to19_fgm,_15to19_fga,_20to24_fgm,_20to24_fga,_25to29_fgm,_25to29_fga,season
Atlanta Hawks,20,32,6,13.4,2.6,6.5,0.8,1.9,6.2,16.1,6.9,20.1,2024
Boston Celtics,15.8,23.8,3.6,7.6,2.4,5.5,1.6,4.1,5.2,13.5,12.3,33,2024
Brooklyn Nets,16.3,26.9,4.2,11,2.3,5.7,1.1,2.6,5.3,15.4,8.2,23.2,2024
Charlotte Hornets,15.8,26.9,5.2,12.4,2.3,6.6,1.5,3.8,4.7,12.5,8.5,25.6,2024
Chicago Bulls,18.3,30.1,5.4,10.6,2.1,4.6,1,2.8,6.1,16.1,9.6,26.9,2024
Cleveland Cavaliers,18.2,27.4,5.6,11.1,3.1,6.2,1.1,3,6.6,16.7,9.4,24.4,2024
Dallas Mavericks,18,27.3,5.5,12.7,3.2,7.2,1.9,4.7,5.7,15.7,7.5,20.1,2024
Denver Nuggets,22.9,34.6,5.1,10.6,2.5,5.9,2.2,5.2,5.4,12.9,7.5,20.3,2024
Detroit Pistons,19.4,30.4,5.4,12,3.2,7,1.5,4,4.8,12.6,8.2,22.8,2024
Golden State Warriors,17.3,27.7,4.5,11.1,2.1,5.3,1.5,3.9,5.2,13.9,10,27.7,2024
Houston Rockets,19,31.3,4.6,11.3,3.4,8,2,5.6,4.9,12.6,8,23.9,2024
Indiana Pacers,18.8,27.8,4.8,10.1,3.9,8.5,2.5,5.6,4.9,12.9,8.3,22.5,2024
LA Clippers,17.7,27.7,5.6,12.2,3.4,7.7,1.8,4.1,4.6,11.8,7.7,22.2,2024
Los Angeles Lakers,18.7,27.5,4,9.3,3,6.9,2.2,5.2,4.9,12.6,7.9,22.9,2024
Memphis Grizzlies,19.2,29.3,7.6,16.5,3.4,7.3,0.9,1.9,6.1,16.1,7.9,21.6,2024
Miami Heat,15.9,25.4,5.4,12.2,3.1,7.1,1.3,2.9,6.3,16.2,7.5,21.7,2024
Milwaukee Bucks,17.3,26.3,3,7.5,3.1,6.7,3.7,7.9,5.5,13,8.9,24,2024
Minnesota Timberwolves,17.4,27.2,4.1,10.2,2.4,6,1.1,2.7,7.1,18.2,8.3,22,2024
New Orleans Pelicans,18.4,30.3,4.5,11.4,3.3,7.8,2,4.9,5.1,13.9,7.3,21.3,2024
New York Knicks,19.3,30.3,5.3,11.3,4.1,8.1,1.9,4.6,5.4,15,7.5,19.5,2024
